loudness,sub_bass,bass,low_mid,mid,high_mid,presence,brilliance,pulse
0.0037344543,0.0026476157,0.0031732405,0.00090813916,0.0014007181,0.0004991603,0.00033925052,0.0003831847,0.0
0.005936343,0.0026476157,0.0032651995,0.0010099359,0.0027328136,0.00089369225,0.0006546177,0.0006355348,0.0
0.005936343,0.0022776397,0.004469136,0.001144323,0.0027607551,0.00092147174,0.0006546177,0.000651965,0.0
0.005936343,0.0022776397,0.0074653216,0.0013623942,0.0027607551,0.00092147174,0.0006546177,0.00069047976,0.0
0.12979305,0.0053502945,0.0074653216,0.005869746,0.0063330224,0.0019199005,0.0013714826,0.0010098565,0.0
0.26675442,0.044338465,0.11123008,0.15448688,0.24352613,0.17859171,0.06607597,0.01053833,1.0
0.26675442,0.044338465,0.11915672,0.19232517,0.24352613,0.17859171,0.06607597,0.01053833,0.0
0.26675442,0.030476028,0.11123008,0.19232517,0.18575308,0.07894981,0.030273082,0.0051364223,0.0
0.2724763,0.028344413,0.11094901,0.24466471,0.14554721,0.042159315,0.019585563,0.0030864638,0.0
0.30124784,0.027813343,0.10522122,0.2898871,0.13859263,0.040782236,0.010863582,0.0020435585,0.0
0.3169596,0.028344413,0.10208574,0.29241854,0.13737664,0.020584159,0.008550779,0.0015627644,0.0
0.3229921,0.031433303,0.08844126,0.29856378,0.13737664,0.020584159,0.008550779,0.0015627644,0.0
0.3682113,0.032442875,0.08844126,0.3786337,0.1457272,0.020344105,0.0053780875,0.001251965,1.0
0.3965979,0.031433303,0.086672805,0.39039686,0.1457272,0.020344105,0.0040316875,0.0012141423,0.0
0.3965979,0.025595987,0.086672805,0.39039686,0.1457272,0.013459642,0.0024097916,0.0011199999,0.0
0.37921682,0.02304675,0.073150516,0.364277,0.14856954,0.0101888,0.0022264968,0.00095891464,0.0
0.33990857,0.02304675,0.06609932,0.31374824,0.14856954,0.008791577,0.0021162052,0.00094434444,0.0
0.25578,0.02304675,0.06609932,0.22453351,0.11986613,0.0073785605,0.001598204,0.00089143094,0.0
0.25578,0.025065152,0.06495341,0.15325733,0.11986613,0.0073785605,0.001598204,0.00094434444,0.0
0.31349462,0.032373708,0.06495341,0.12704335,0.16767675,0.04527365,0.012979062,0.0020860375,1.0
0.46861044,0.032373708,0.06553636,0.1141569,0.2995944,0.04527365,0.012979062,0.0020860375,0.0
0.46861044,0.020810671,0.06553636,0.10776491,0.2995944,0.025353258,0.003340548,0.0010955735,0.0
0.4374295,0.019008802,0.060753644,0.092261165,0.26648036,0.013065713,0.002038218,0.0009826804,0.0
